,Unnamed: 0,ID,DATE,RATIO,ID_USERS,COMMENT
0,0,0,2024-03-03,5,0,Mi primera experiencia y me ha gustado muchoEs muy agradable al tacto y las bolas son pequeñas para poder ir introduciéndolas relajada. Muy buen producto
1,1,0,2024-02-26,5,1,"Nuestra valoración sobre este producto, Tok Anal 10. Y como su nombre dice, es un 10.Lo primero decir que para personas ya con cierta experiencia quizás no sea su juguete, pero para gente que se esté iniciando en el seco anal les va ir bien.Medidas dildoLargo 13 cm insertablesDiámetro bolasPrimera bola 1,85 cmSegunda bola 1,95 cmTercera bola 2,45 cmCuarta bola 3,25 cmAncho entre bolasEntre la primera y segunda bola 1,2 cmEntre la segunda y tercera 1,4 cmEntre la tercera y cuarta 1,6 cmPara que os hagáis una idea si se deja entre bolas el ancho que tieneLa Bala es pequeñita pero matona, con sus 10 tipos de vibración tendrás donde elegir y cuál es la que más te gusta.Lo utilicé con mi mujer aplicando lubricante bacanal y desliz frío, cosa que aconsejó, utilizar un lubricante base al agua.La última bola no es cómoda (para mi mujer) pues es donde se une con el asa.La bala es extraible, con lo que es más fácil poder limpiar el dildo, además de poder jugar también con ella.Pues esta es nuestra valoración, un buen artículo para empezar o para gente con alguna experiencia, con la oferta sale por un buen precio, no dejes de probar sensaciones nuevas.Además no es necesario llegar hasta la última bola, te puedes quedar en la que quieras si ves que no puedes ir más allá."
2,2,0,2024-02-07,5,2,"Está genial para iniciarse en sexo anal. La forma, textura y el tamaño son perfectas. Si ya tienes experiencia con otros juguetes anales, quizas la experiencia se quede corta."
3,3,0,2024-01-31,5,3,"Genial. Lo compré para los dos, y tengo que decir que muy bien. Yo soy novato, y entra muy bien, es suavecito y la forma, como de bolas progresivas, abre poco a poco, ideal para culos poco expertos . Se nota la vibracion, aunque más si lo metes profundo. En el caso de mi mujer que es toda una experta, lo usamos con doble penetracion y ha quedado encantada, más de una vez.En suma, genial. Un 10"
4,4,0,2023-12-21,4,4,"Lo compramos en el fuck friday y nos ha gustado. El tacto está muy bien y la vibración y sus niveles están geniales.Muy flexible y por ponerle un pero se lava bien, pero el secado no es el mejor."
5,5,0,2023-10-17,5,5,Ideal y mejor que la descripción. Recomendable ❤️❤️❤️❤️❤️❤️
6,6,0,2023-08-29,5,6,"Pues yo lo recomiendo un montón. El precio es inmejorable para tener un primer encuentro o preliminar con el sexo anal. Es un genial abre caminosEs flexible por lo que se puede hacer doble penetración sin que sea especialmente incómodo....Se le pegan un poquito las pelusillas (como en la foto) pero bueno, chorro de agua antes y yaEn cuanto al servicio técnico, de 10. Tuve un pequeño fallo con el tema de las pilas, creyendo que no funcionaba y era que no las estaba poniendo bien (tienen que ir protegidas con un plastiquito)"
7,7,0,2023-08-27,5,7,"El mejor juguete para iniciarse en el sexo anal.Con el tiempo se queda pequeño y pasa a un segundo plano, pero para empezar es el indicado."
8,8,0,2023-08-07,5,8,"Muy bueno, ideal para el inicio de sexo anal, buena variación de vibraciones, ideal para empezar el juego."
9,9,0,2023-07-30,5,9,"La verdad que era lo que esperaba. Me ha gustado el tamaño, pero para un futuro buscaré uno más grande. Lo más TOP es que lo hemos podido usar poniéndolo con el Arnés sexual universal de amantis y el dildo LIZO 2.0, obteniéndo gran placer por partida doble ;). Ver foto adjunta."
10,10,0,2023-02-14,5,10,"Es perfecto para estimular analmente, no tiene una gran vibracion aunque eso lejos de molestarme me gusta mas. No me gusta que vibre tanto si es anal almenos, de todas formas estaba buscando un vibrador anal que fuese bueno y vaya que si me ha gustado. Lo recomiendo muchisimo."
11,11,0,2023-01-05,5,11,"Al principio creíamos que no funcionaba porque parecía que no hacía buen contacto, pero era porque habíamos retirado el papel interior que rodea las pilas y porque al parecer las pilas estaban agotadas también. Escribí al correo de amantis y enseguida nos dieron respuesta, finalmente compramos pilas nuevas y todo funciona perfectamente. En cuanto al vibrador, no tenemos mucha experiencia con estos juguetes pero ha sido muy fácil de usar, muy útil para dilatar y con muchas posibilidades para explorar."
12,12,0,2022-11-22,5,12,"Es un juguete bastante versátil, sobre todo por su pildora vibradora y sus diferentes tamaños. Recomendadisimo."
13,13,0,2022-11-20,5,13,Gran artículoLe daría más potencia en la vibraciónPor lo demás genial
14,14,0,2022-10-05,5,14,"Es ideal para empezar a experimentar con el sexo anal, el tamaño es perfecto y aunque la bala no es muy potente una vez dentro sí que hace su papel. El tacto es muy suave y agradable y su forma hace que entre bien y con el tiempo vaya dilatándose, con mucho lubricante bacanal después de unos minutos entraba solo!"
15,15,0,2022-08-24,4,15,"Le falta bastante potencia.rnPero entra muy fácil, y los tamaños progresivos ayudan!"
16,16,0,2022-05-22,5,16,El tacto es muy suave y el tamaño es ideal para las preliminares del sexo anal. Lo recomiendo sin duda
17,17,0,2022-02-20,5,17,"Muy bueno para iniciarse. Con un poco de lubricante la primera bola entra sola, y de ahí solo hay que ir agrandando poco a poco hasta que llega la última, que tampoco es desproporcionadamente ancha. También es perfecto para los preliminares antes del sexo anal una vez ya has cogido algo de experiencia. A mi chica le encanta."
18,18,0,2021-11-23,3,18,No está mal. La vibración no es muy potente y casi no se nota al final. Entra fácil con lubricante y no es muy grande.
19,19,0,2021-11-17,4,19,Muy cómodo de usar con lubricante. Entra muy fácil y el tamaño es el apropiado si eres principiante en esto del anal. La bala podría tener más potencia.rn100% recomendado.
20,20,0,2021-10-01,5,20,"Tiene un tacto super suave, los últimos modos son los mas satisfactorios en mi opinión, el tamaño y funcionamiento son los ideales"
21,21,0,2021-09-18,5,21,"Para iniciación al sexo anal está muy bien. La punta es bastante fina, de un tamaño ideal para preparar el esfínter y relajarlo antes de las siguientes protuberancias. La progresión del tamaño de éstas hace que el juego sea muy excitante, y una vez calentada la zona es muy fácil meterlo y sacarlo. El material es muy suave y con un poco de lubricante (Bacanal nos encanta) la experiencia es fabulosa. Se limpia fácilmente y la bala vibradora ser puede retirar, por si no se quiere mojar. Para usarlo en una doble penetración va bien, y es divertido que la vibración se va activando y cambiando cada vez que la empujo sin querer ;P"
22,22,0,2021-03-18,5,22,"Mi juguete preferido. Muy fácil de usar y enseguida se te queda corto de lo bueno que es. Buen diseño, se adapta súper bien y de una calidad excelente. Lo suelo usar sin vibración porque, personalmente, se gastan muy rápido las pilas y te quedas a medias jeje Lo recomendaría para aquellos que quieren comprar su primer juguete"
23,23,0,2021-02-19,5,23,Tanto la textura como la vibración son geniales. La bala es muy potente y es super fácil de usar. Lo utilizo sobretodo yo y mi pareja disfruta un montón jugando conmigo y con el. Lo recomiendo mucho tanto para hombre como mujer. Pasarás un rato muy divertido
24,24,0,2021-01-27,5,24,perfecto para empezar con el sexo anal. la progresiva anchura hace que llegues hasta donde tú quieres. y la vibración muy intensa también. maravilloso jeje
25,25,0,2021-01-25,5,25,"Es perfecto: forma, tacto, variedad de modos, duración de las pilas... Es genial en todos los aspectos."
